"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","08-Mar-2017","       2499.80","       2502.00","       2520.00","       2492.20","       2515.50","       2512.20","       2506.23","     895755","          2244966605.40","      58118","     571017","         63.75"
"TCS","EQ","09-Mar-2017","       2512.20","       2514.15","       2524.00","       2504.05","       2522.00","       2519.75","       2516.57","     429234","          1080198640.50","      34781","     213225","         49.68"
"TCS","EQ","10-Mar-2017","       2519.75","       2519.60","       2549.55","       2513.95","       2542.30","       2542.25","       2538.10","     585710","          1486590387.20","      40437","     336059","         57.38"
"TCS","EQ","14-Mar-2017","       2542.25","       2556.80","       2587.15","       2551.05","       2569.85","       2567.50","       2570.09","    1701147","          4372097613.20","      79617","    1396289","         82.08"
"TCS","EQ","15-Mar-2017","       2567.50","       2572.00","       2572.15","       2493.85","       2499.00","       2498.30","       2512.68","    1511248","          3797287201.50","      80366","    1050304","         69.50"
"TCS","EQ","16-Mar-2017","       2498.30","       2506.00","       2527.00","       2506.00","       2521.95","       2520.90","       2518.82","     785909","          1979564854.10","      38597","     500981","         63.75"
"TCS","EQ","17-Mar-2017","       2520.90","       2546.00","       2546.00","       2509.75","       2532.15","       2525.75","       2526.10","    1296576","          3275280167.25","      68693","     944262","         72.83"
"TCS","EQ","20-Mar-2017","       2525.75","       2525.95","       2525.95","       2466.00","       2476.10","       2480.00","       2484.21","    1743770","          4331887420.05","      53873","     983759","         56.42"
"TCS","EQ","21-Mar-2017","       2480.00","       2482.00","       2492.00","       2465.00","       2484.85","       2486.70","       2480.49","    1686850","          4184219726.50","      35144","     907802","         53.82"
"TCS","EQ","22-Mar-2017","       2486.70","       2480.15","       2496.00","       2469.95","       2472.30","       2478.95","       2480.43","     944358","          2342413605.15","      33906","     597246","         63.24"
"TCS","EQ","23-Mar-2017","       2478.95","       2482.00","       2485.05","       2447.20","       2457.95","       2460.35","       2460.01","    1310319","          3223394959.05","      44174","     878276","         67.03"
"TCS","EQ","24-Mar-2017","       2460.35","       2469.80","       2469.80","       2423.30","       2428.00","       2427.20","       2437.96","    2549907","          6216581145.75","      53320","    1519633","         59.60"
